family,status,count,share,target,examples
Пружины,AUTO_READY,154,0.005,podveska/pruzhiny,ДВГ-00590 Пружина клапана ГАЗ (дв. 406) | ЗКГ-00012 Пружина кулисы ГАЗ-53 | ЗЧМ-00224 Пружины передние 2141 | ЗЧМ-00332 Подставка под пружины 2141 (2 шт) | ЗЧМ-00573 Пружины задние ИЖ-ОДА 2126
podkrylki-i-bryzgoviki,GROUP_REVIEW,149,0.0049,kuzov-i-optika/podkrylki-i-bryzgoviki,"А-01366 Брызговики LADA-GRANTA пер.,зад.(2 шт) | А-01695 Брызговик-длинномер 240х35 | А-01696 Брызговик из 3-х частей светоотражающий 61 | А-01718 Брызговики задние ЛАДА Веста | А-01858 Брызговики перед. Ларгус-Кросс"
Выхлопная система,AUTO_READY,148,0.0048,dvigatel-i-transmissiya/vyhlopnaya-sistema,А-02121 Насадка глушителя двойная | Г-00015 Приёмная труба 2101 | Г-00077 Труба приемная Маз левая (Н. Новгород) | Г-00084 Труба приемная КАМАЗ Евро левая (Н. Новгор | Г-00148 Труба приемная УАЗ-3151 (дв.514)
ГРМ и ролики,AUTO_READY,148,0.0048,dvigatel-i-transmissiya/remni,ДВ-00428 Набор ГРМ - Приора К015631XS | ДВ-00653 530053610 Ремень ГРМ ролика Приора | ДВГ-00977 Натяжитель ГРМ дв. Крайслер | ДВГ-01239 Набор ГРМ Крайслер | ДВГ-01595 Звездочки ГРМ (дв. 406) к-т Е-3
Масляные фильтры,MANUAL_REVIEW,146,0.0048,filtry-i-masla/maslyanye-filtry,А-01446 Фильтр нулевого сопр.-я (тюнинг) | ДВ-00444 Фильтр бензиновый Нива импорт. | ДВГ-00379 Фильтр-отстойник ЗИЛ | ДВГ-00961 Фильтр грубой очистки УАЗ-Хантер (дв. 42 | ДВГ-01430 Фильтр дополнительный Газель Каминс дв.
supporty,GROUP_REVIEW,136,0.0044,tormoznaya-sistema/supporty,ЗЧМ-00207 Суппорт 2140 | ЗЧМ-00669 Рем. набор пер. торм. суппорта АЗЛК-2141 | ИН-01270 584001R300 Суппорт зад. прав. HYUNDAI | ИН-01586 Рем. к-т направляющих суппорта KIA RIO Masterkit 77А1125 | ИН-01668 77А1174 Рем. к-т суппорта заднего 38 мм
stupicy,GROUP_REVIEW,134,0.0044,podveska/stupicy,ЗЧМ-00531 Набор ступицы 2141 | ИН-00276 Гайка ступицы колеса Шевроле 94515177 | КГ-01124 Винт крепления подшип. пер. ступицы Г-330 | ОК-00282 Кольцо грязезащитное ступицы ОКА | ОК-00285 Кольцо грязезащитное задней ступицы ОКА
Стеклоочистители,AUTO_READY,124,0.004,aksessuary/prochie-aksessuary,"А-00052 Дворники BOSCH 65 1 шт | А-00347 Щетка стеклоочистителя ЗИЛ-5301,4331 35.5 | А-00348 Щетка стеклоочистителя КАМАЗ 4310 сл108- | А-00412 Дворники 2101-07 № 19 (Франция) | А-00482 Дворники ""Бош"" б/каркасные 51,53,55 см"
Шаровые опоры,AUTO_READY,122,0.004,podveska/sharovye-opory,"ЗЧМ-00120 Шаровая 2141 | ЗЧМ-00405 Шаровые 2141 | ЗЧМ-00501 Шаровая 2141 (Германия), 1 шт | ЗЧМ-00558 Пыльник шаровой 2141 (силикон) | ХС-00057 Шаровая Веста (левая)"
stoyki,GROUP_REVIEW,122,0.004,podveska/stoyki,"А-01351 Накладки центр. стойки 2109, 2 шт (нижняя часть) | ЖЛ-00150 Стойка ср. 2106 | ЗЧМ-00211 Катридж передней стойки 2141 | ЗЧМ-00568 Картридж передней стойки ИЖ-ОДА (за 1 шт | ЗЧМ-00625 Ремкомплект передней стойки 2141"
chehly,GROUP_REVIEW,118,0.0038,aksessuary/chehly,"А-00044 Чехол для CD дисков | А-00049 Чехол КПП Газель (кож. зам.) | А-00202 Чехлы Газель 3 места | А-00207 Чехлы ВОЛГА 3110 | А-00333 Чехлы ""Ларгус"" 2 места"
КПП,GROUP_REVIEW,114,0.0037,dvigatel-i-transmissiya/kpp,ЗКГ-00047 Кулиса КПП Газель ниж. ЗМЗ | ЗКГ-00052 Кулиса Волга | ЗКГ-00058 Кулиса коробки ЗИЛ-130 | ЗКГ-00092 Вилка КПП УАЗ-452 (нов. обр.) 3 шт | ЗКГ-00289 Кулиса крышка р/короб. УАЗ н. обр.
fary,GROUP_REVIEW,112,0.0036,kuzov-i-optika/fary,"А-00755 Противотуманки ""DLAA"" (круглые) | А-00964 Противотуманки ""Калина"" (со вставками) | А-00966 Противотуманки № 2318 | А-01888 Противотуманки диодные Рено-Логан | ИН-00199 Противотуманки Дэу-Нексиа ст.обр. (к-т, 2"
rele,GROUP_REVIEW,107,0.0035,elektrika/rele,ИН-01322 реле регулятора | ИН-01382 AMD.EL365 Реле-регулятор 3-х конт. Daewo | Р-00048 Реле поворотов 24В | ЭО-00138 Сигналы двойные с реле | ЭО-00348 Реле поворота звуковое 2101-07
Замки и ручки,AUTO_READY,106,0.0035,kuzov-i-optika/zamki-i-ruchki,"А-00381 Ручка двери (крючок) | ЗЧМ-00014 Ручка стеклоподъёмника Москвич | КР-00055 Ручка стеклоподъёмника 2101-06 | РДГ-00064 Ручка двери УАЗ-Патриот внутр. прав. чер | РДГ-00066 Замок багажника Г-3110, 31105 внутр. мех"
kompressory,GROUP_REVIEW,105,0.0034,aksessuary/kompressory,"А-00138 Компрессор малый (Дания) | А-00301 ""Агрессор"" AGR-35 L Компрессор с LEDфонарём 35л/мин | А-00630 Компрессор АС581 (в кейсе) | А-00665 Компрессор (Дания) | А-00815 Компрессор ""Торнадо"""
Пружины,GROUP_REVIEW,101,0.0033,podveska/pruzhiny,ЗЧМ-00333 Подкладки пружин Москвич 2140 | ЗЧМ-00481 Чашки зад. пружин 2141 | КГ-00211 Пружина тормозная ЗИЛ (за 1 шт) | КЗ-00632 Крышка консоли ГАЗ-3110 с пружиной | СЦ-00015 Пружинка вилки сцепления 2101-07
povtoriteli,AUTO_READY,95,0.0031,kuzov-i-optika/povtoriteli,"А-00505 Зеркала с поворотником | А-00905 Звуковой повторитель (универсальный) | ИН-00992 Повторитель в крыло лев. 632563 | О-00276 Указатель поворотника УАЗ-3160 лев., прав. | О-00282 Повторитель 2110"
Топливные фильтры,AUTO_READY,93,0.003,filtry-i-masla/toplivnye-filtry,"ДВ-00725 LF-249М Фильтр топливный погружной Ларгус | ДВГ-00472 Фильтр топливный SCT 315 Волга | ДВГ-00753 Фильтр топливный в сборе Р1-270 | ДВГ-00943 Фильтр топливный Дизель | ДВГ-01152 Фильтр топливный Г-3302 (дв. Камминс 2,8) элемент. тонк. очистки"
zamki-i-ruchki,AUTO_READY,91,0.003,kuzov-i-optika/zamki-i-ruchki,"А-00111 Ручки дверные 2109-2115 (тюнинг), 4 шт | А-00632 Крышка бака с ключом 2104 (имп.) | ЗЧМ-00262 Крышка бака Москвич 2140 | КЗ-00346 Крышка бака УАЗ-452 (2 шт) | КР-00108 Ручки дверные в сборе 2106"
